2.25, 2.33
0.20, -0.88
1.14, -1.60
Система не має розв'язку
0.60, -0.10
-0.67, -0.67
Система не має розв'язку
Система не має розв'язку
1.12, 0.08
-0.43, 0.25
Система не має розв'язку
-4.67, -5.00
15.00, 4.33
-1.30, -2.44
Система не має розв'язку
Система не має розв'язку
2.60, -21.00
-1.17, 3.75
-1.12, -2.83
-3.78, -4.89
-0.72, 0.06
0.23, -0.83
-22.00, -18.00
-0.54, 0.38
0.00, 1.00
-0.80, 0.80
-0.80, -0.16
-2.22, 2.59
-0.39, 0.36
-0.71, -1.29
0.25, 1.07
-6.50, -1.50
-2.00, -0.33
2.75, -3.00
0.78, -0.25
7.18, -3.55
0.40, -0.20
Система не має розв'язку
0.33, 1.44
0.46, -3.62
-1.10, 1.60
-2.11, -0.89
0.37, -0.27
-2.30, 2.35
-1.95, 0.74
0.14, 3.29
-0.33, -0.58
0.21, -0.68
1.40, 0.55
-5.00, -5.00
-0.25, -0.75
Система не має розв'язку
0.12, 0.00
0.68, -0.97
-1.18, -2.09
-0.50, 1.07
-0.19, -0.81
-11.00, -4.14
1.95, -1.73
-1.84, 1.47
-1.53, 0.94
0.14, 0.29
0.17, 0.33
-16.00, -11.67
1.16, 1.21
-9.86, -13.00
-0.16, -1.21
1.82, 0.64
0.95, 0.81
-0.53, 0.79
-1.08, -0.74
0.21, 0.89
1.69, -2.92
0.75, -2.55
-0.50, 0.33
1.20, -3.90
-1.39, 0.45
0.21, 0.07
-0.96, 1.85
-3.50, -8.50
-0.56, -0.50
0.11, 3.83
2.48, 2.35
-0.52, 0.07
0.35, 0.62
Система не має розв'язку
-1.17, 0.83
-21.67, 11.67
-0.02, -0.20
0.57, -1.64
1.04, 1.79
1.27, 1.07
1.37, -0.77
1.16, 0.82
0.11, -0.59
-0.96, 0.15
-0.50, 0.00
-0.67, -1.67
1.70, 1.78
-0.80, -2.60
